x,Curve1
"165,316","-0,3983"
"166,306","-0,2053"
"167,719","0,0091"
"168,709","0,1699"
"170,264","0,4379"
"171,608","0,6093"
"173,021","0,8559"
"174,435","1,0595"
"175,991","1,2416"
"177,9","1,4988"
"179,526","1,7561"
"180,656","1,992"
"181,997","2,3996"
"183,337","2,8608"
"184,606","3,3972"
"185,379","3,8586"
"186,505","4,4702"
"187,56","5,0925"
"188,475","5,5753"
"189,39","6,1118"
"190,376","6,5302"
"191,081","6,8198"
192,"6,9806"
"192,637","7,0341"
"193,416","7,0125"
"194,197","6,8621"
"194,694","6,7117"
"195,336","6,3574"
"196,049","5,9386"
"196,905","5,4125"
"197,049","5,1763"
"197,479","4,7791"
"197,909","4,3818"
"198,411","3,8451"
"199,487","2,6749"
"199,846","2,2669"
"200,276","1,7838"
"200,992","1,1397"
"201,708","0,4741"
"202,709","-0,3097"
"203,209","-0,6747"
"204,065","-1,1579"
"204,991","-1,6304"
"205,703","-1,9848"
"206,771","-2,4036"
"207,835","-2,6185"
"209,324","-2,7047"
"211,307","-2,7051"
"213,997","-2,5876"
"214,988","-2,5878"
"216,476","-2,6526"
"218,956","-2,7282"
"220,585","-2,793"
"223,49","-2,8365"
"225,047","-2,7617"
"226,462","-2,6762"
"229,148","-2,2152"
"231,621","-1,7005"
"233,386","-1,293"
"235,082","-0,9821"
"236,214","-0,8106"
"237,416","-0,6606"
"238,901","-0,4999"
"240,811","-0,3179"
"242,651","-0,2002"
"246,049","-0,1043"
"249,307","-0,105"
"254,973","-0,0848"
